vehicle;image;sequence;movie
Citroën 2CV;Vehicle_-_Citroen_2CV.png;"A tiny but seemingly indestructible (rental) car belonging to  that Bond uses to make a ""fast"" getaway after Melina assassinates , who murdered her parents. The car used in the movie was allegedly fitted with a Citroën GS 4-cylinder boxer engine (in place of the standard 2-cylinder boxer), to make it able to outrun the two Peugeot 504s in pursuit.";For Your Eyes Only
Peugeot 504;Vehicle_- Peugeot 504.png;used by Gonzales' henchmen to chase down the Citroën 2CV driven by Bond and Melina.;For Your Eyes Only
Rolls-Royce Silver Shadow I LWB;Vehicle_-_Rolls-Royce_Silver_Wraith II.png;a Silver Wraith II is owned by Aris Kristatos and takes Bond and the Countess Lisl home from the casino.;For Your Eyes Only
Mercedes-Benz 280 SE;Vehicle - Mercedes-Benz 280 SE.png;Locque's personal car, which he uses to drive to Hector Gonzales' villa and later attempts to escape the Albanian warehouse with, only to die inside it when Bond kicks it off the cliff.;For Your Eyes Only
Mercedes-Benz 200 D;Vehicle_-_Mercedes-Benz 200 D.png;Locque, Kriegler, Claus and other henchmen use a dark red Mercedes-Benz 200 D facelift model when hunting James Bond in Cortina d'Ampezzo.;For Your Eyes Only
Yamaha XT 500;Vehicle_-_Yamaha_XT500.png;used by the assassins that attack Bond at Cortina d'Ampezzo.;For Your Eyes Only
GP Super Buggy Series III;Vehicle - FYEO Buggy.png;used by Locque and other hitmen to try kill Bond and Lisl on the beach.;For Your Eyes Only
Zamboni;Vehicle - FYEO Zamboni.png;appears during the fight at the Ice Hockey rink.;For Your Eyes Only
Mercedes-Benz LP;Vehicle - FYEO MB LP65.png;appears during Spain chase.;For Your Eyes Only
Mercedes-Benz O 322;Vehicle - FYEO MB O 322.png;appears during Spain chase.;For Your Eyes Only
Mercedes-Benz L 1413;Vehicle - FYEO MB L1413.png;appears during Spain chase.;For Your Eyes Only
Bell 206 JetRanger;Vehicle - Bell 206 JetRanger OHMSS.png;"helicopter that's guided indirectly by the ""Mystery Assailant"" to try kill Bond after the latter visits the graveyard.";For Your Eyes Only
Mil Mi-2;Vehicle - Mil Mi-2 FYEO.png;"the helicopter General Gogol and his bodyguards arrive to St. Cyril's Monastery with. <small>(Note: these copters were made by the Polish ""PZL-Świdnik"" for Soviet Union and its client states.)</small>";For Your Eyes Only
Cessna A185F;Vehicle_-_Cessna_A185F.png;used by Gonzales to gun down the Havelocks.;For Your Eyes Only
Neptune Submarine;Vehicle - Neptune Sub.png;used by Bond and Melina to go to wreck of St. Georges. Later gets attacked by a Mantis submarine operated by one of Kristatos' underlings.;For Your Eyes Only
Mantis Submarine;Vehicle - Mantis Sub.png;used by one of Kristatos' underlings to attack Bond and Melina in their Neptune sub.;For Your Eyes Only
St. Georges;Vehicle - StGeorges FYEO81.png;clandestine British electronic surveillance ship, disguised as an innocuous-looking Maltese fishing trawler. It housed the ATAC and gets scuttled by a seamine set by Kristatos' henchmen. Later in the film, Bond and Melina scuba dive inside it to retrieve ATAC.;For Your Eyes Only
Triana;Vehicle - Triana.png;No description available;For Your Eyes Only
Santa Mavra;Santamavra1.jpg;No description available;For Your Eyes Only
SS Columbina;Vehicle - Columbina FYEO Movie.png;Columbo's yatch. Bond its taken aboard after Lisl is killed on the beach.;For Your Eyes Only
Bentley 3½ Litre;Vehicle_-_Bentley_Mark_IV.png;Contrary to the films, James Bond's official car in the  novels was a grey 1933 Bentley convertible. The car featured a 4.5 litre engine with the Amherst-Villiers supercharger. In the novels, no gadgets were installed as this was Bond's personal vehicle that in ' is mentioned as being a hobby that Bond enjoys working on. Its only armament, in the novels, is a high power revolver Bond keeps in the glove compartment. The novel version of the Bentley Mark IV was destroyed during a chase sequence in '. The Bentley is also seen in ''From Russia with Love''. In the movie, the only gadget known to be included was a car phone. The film version of ''Goldfinger'' strongly implies that the Bentley was issued to Bond by Q-Branch;From Russia with Love
Blofeld's Yacht;Vehicle_-_Blofeld's Yacht.png;No description available;From Russia with Love
Hiller UH-12;Vehicle_-Hiller UH-12.png;Used by . First appears when it brings Rosa Klebb to the . After Bond and Tatiana get out of the train, SPECTRE operatives use a UH-12 to try chase them down. It is destroyed when Bond snipes the co-pilot with his AR-7, who had pulled a sock of an grenade, causing the co-pilot to drop it inside and exploding the helicopter.;From Russia with Love
Rolls-Royce Silver Wraith;Vehicle_- Rolls-Royce Silver Wraith I.png;Driven by one of Kerim's sons, who picks Bond from Yesilköy Airport and chauffeurs him to Kerim's location.;From Russia with Love
Citroën Traction Avant;Vehicle_-Citroën Traction Avant.png;It is used by Bulgarian spies to track Bond through Istanbul. It is later stolen by Red Grant to follow Bond.;From Russia with Love
Chevrolet Apache C30 One-Ton Truck;Vehicle_- Chevrolet Apache C30.png;pick-up truck guarded by , that was meant to be Red Grant's getaway vehicle. It is instead hijacked by Bond and Tania.;From Russia with Love
Fairey Huntress 23;Vehicle_- Fairey Huntress 23_BondTania.png;Boats used during the last action sequence near Trieste. Bond and Tania steal one with bunch of barrels attached on the rear, with SPECTRE henchmen soon arriving with Huntress 23 boats with black decals.;From Russia with Love
Aston Martin DB5;Vehicle_-_Aston_Martin_DB5.png;The most famous Bond car of all, it came with all the usual Q-Branch refinements which have been copied from movie to movie including bulletproof front and rear panels, oil slick, smoke screen, machine guns, rotating licence plates, telescoping tire slashers, tracer-receiving console and most famously, the passenger ejector seat.;Goldfinger
Rolls-Royce Phantom III;Vehicle_-_Rolls-Royce_Phantom_III.png;"Owned by Auric Goldfinger, it was used to smuggle gold by recasting all of the body panels in gold and shipping it from place to place. Often mistakenly called the ""Phantom 337"" as that is what Connery said in the film. If the car was actually called the ""337,"" Connery probably would have spelled out ""three-three-seven,"" as the British commonly do.";Goldfinger
Ford Mustang Convertible (1964.5);Vehicle_-_1965_Ford_Mustang_Convertible.png;Tilly Masterson is seen driving a white Mustang - the convertible is totaled after Bond shreds the tires and lower rocker panels. This was the first appearance of a Mustang in a feature film. Other Fords were seen in the film, including a Ranchero and a Lincoln Continental.;Goldfinger
Mercedes-Benz 190 (W121);Vehicle_-_Mercedes-Benz 190 (W121).png;Two 190/W121 cars are used to chase down Bond's DB5 at Goldfinger's Factory in Switzerland.;Goldfinger
Mercedes-Benz 220 SE (W128);Vehicle_-_Mercedes-Benz 220 SE.png;Oddjob is a passenger in a grey 220 SE during the car chase at Goldfinger's Factory in Switzerland.;Goldfinger
Piper PA-28 Cherokee;Vehicle_-_Piper PA-28 Cherokee.png;the type of aircraft used by the members of . They are used to (falsely) spread the Delta 9 Nerve Gas upon Fort Knox and the surrounding area.;Goldfinger
1964 Lincoln Continental (Fourth Generation);Vehicle_-_Lincoln Continental Gen 4.png;Car driven by  to take  to the nearby junkyard and kill him there. The car is subsequently crushed into a cube with Solo's body inside.;Goldfinger
Dodge M43;Vehicle_-_Dodge M43.png;posing as an army ambulance, it is used to bring the  to Fort Knox to cut through the armored shutters.;Goldfinger
Lockheed JetStar;Vehicle_-_Goldfinger_JetStar.png;Used as Auric Goldfinger's private jet. It is later disguised as a United States Air Force C-140 transport to kidnap Bond while Goldfinger makes his escape.;Goldfinger
Rolls-Royce Phantom V;Vehicle - LTK RR PhantomV.png;limousine in which Bond, Leiter and Sharkey ride to Leiter's wedding, before DEA informs them of Sanchez's presence in Bahamas.;Licence to Kill
Lincoln Town Car Stretched Limousine;Vehicle_-_LTK_Lincoln_Town_Car_Stretch_Limo.png;limousine that's bringing Della to the church.;Licence to Kill
Willys M38;Vehicle_-_Willys_MC_M38.png;used by Sanchez and his thugs at Alvarez's hideout.;Licence to Kill
Lincoln Mark VII LSC;Vehicle - LTK LincolnMkVII.png;Bond's rental car in Key West.;Licence to Kill
Utilimaster Aeromaster;Vehicle_-_LTK_Armored_Van.png;the armored van that is used to transport Sanchez before Kilifer reveals his true colors.;Licence to Kill
Rolls-Royce Silver Shadow II;Vehicle_-_Rolls-Royce_Silver_Shadow_II.png;the car Bond is chauffeured around Isthmus City by Q with.;Licence to Kill
Maserati Biturbo 425i;Vehicle - Maserati Biturbo 425i.png;No description available;Licence to Kill
Dodge Ram;Vehicle_-_Dodge Ram.png;used by Sanchez's henchmen at Paso El Diablo.;Licence to Kill
Jeep CJ-7;Vehicle - Jeep CJ7.png;used by Perez and some other henchmen at Paso El Diablo. It carries the Stinger missiles Perez tries to destroy Bond's truck with. It gets crushed by Bond's truck.;Licence to Kill
Taylor-Dunn Tee-Bird;Vehicles - Taylor-Dunn Tee-Bird.png;cart that brings Pam to Joe Butcher at the Olympatec.;Licence to Kill
Kenworth W-900;Vehicle_- Kenworth W-900.png;Sanchez has four of these trucks leave his plant after Bond destroys the place. Bond eventually hijacks one.;Licence to Kill
M5 Stuart Tank;Vehicle_- M5 Stuart Tank.png;tank used by Heller and the Isthmusian soldiers to siege the safe house of the Hong Kong narcotics agents.;Licence to Kill
HH-65A Dolphin;Vehicle_-_AS365 Dauphin.png;operated by the United States Coast Guard in the pre-title sequence. James Bond later uses the helicopter to trap escaping Sanchez's Cessna 172.;Licence to Kill
Aerospatiale AS350B AStar;Vehicle_-_Eurocopter AS350B.png;Used by Sanchez to travel between his villa and the Olympatec Meditation Institute.;Licence to Kill
Learjet 35;Vehicle - Learjet 35.png;used by Sanchez to arrive to Bahamas.;Licence to Kill
Cessna 172P Skyhawk;Vehicle_-_Cessna_172_LTK.png;Sanchez uses one to try escape Bond and Felix during the pre-title sequence.;Licence to Kill
Cessna A185F;Vehicle - LTK A185F.png;Floatplane hijacked by Bond during the Wavekrest sequence.;Licence to Kill
Piper PA-18-150 Super Cub;Vehicle_-_Piper_PA-18-150_Super_Cub_Plane.png;A crop dusting plane flown by  in pursuit of 's cocaine-filled Tankers. It is crippled by a stinger surface-to-air missile during the chase sequence.;Licence to Kill
Shark Hunter II Submersible;Shark Hunter II (1).png;midget submarine operated by Milton Krest's Wavekrest Marine Research. Its supposedly unused, when in reality, its was used to for Franz Sanchez's operations.;Licence to Kill
Cigarette Racing Café Racer;Vehicle_-_Cigarette_Racing_Cafe_Racer.png;motorboat used by Bond to arrive to Barrelhead Bar and then later escape it with Pam Bouvier.;Licence to Kill
Supra Pirata;Vehicle_-_Super_Pirata.png;the motorboat used by Lupe to leave Sanchez's villa to help Bond covertly leave.;Licence to Kill
Wavekrest;Vehicle_-_Wavekrest_Movie.png;"marine research vessel operated by Milton Krest. Bond sneaks aboard this ship a couple of times during the story. <small>(This vessel was called ""State Point"" when movie was filmed, and current goes by ""J.W. Powell"".)</small>";Licence to Kill
Rolls-Royce Silver Shadow I LWB;Vehicle_-_Rolls-Royce_Silver_Wraith II.png;When Bond arrives in Rio de Janeiro, he is seen as a passenger in a blue Silver Wraith II which takes him to his hotel.;Moonraker
Austin Mini Moke;Vehicle - Moonraker Film Mini Moke.png;No description available;Moonraker
Bell 206 JetRanger;Vehicle - 206JetRanger Moonraker.png;one is piloted by Corrine to bring Bond to Drax's Estate in California.;Moonraker
Handley Page HP.137 Jetstream 1;Vehicle_-_Handley_Page_Jetstream.png;In the pre-titles sequence, Bond is almost left stranded on this aircraft with no pilot and no instruments, until he is pushed out with no parachute by Jaws.;Moonraker
Gondola Hovercraft;Vehicle_-_Gondola.png;No description available;Moonraker
Q's Hydrofoil Boat;Vehicle_-_Glastron_Boat.png;No description available;Moonraker
Glastron SSV-189;Vehicle - Moonraker Villain Glastron SVV-189.png;used by Drax's sentries during the Amazon river chase.;Moonraker
Moonraker Shuttle;Vehicle_-_Moonraker_Shuttle.png;"""Moonraker"" is a brand name applied to a space shuttle orbiter design, built by Drax Industries for NASA. Though the actual Space Shuttle had not flown by the time ''Moonraker'' was released, the Drax Moonraker is identical in design. These were named Moonraker 1-6.";Moonraker
Land Rover Range Rover Convertible;Vehicle_-Land Rover Range Rover Convertible.png;Appears in the pre-title sequence, where it was driven by James Bond and his colleague Bianca. It is used to tow a horsebox, which secretly contains the AcroStar/Bede BD-5J inside.;Octopussy
Mercedes-Benz 280 S (W108);Vehicle_-_Mercedes-Benz_280_S.png;Bond commandeers this Soviet Army staff car to pursue Octopussy's train. When the tires are shredded by a spikestrip, Bond turns onto the railway line and drives the car along the rails until he escapes just before the car is knocked into the river by an oncoming train.;Octopussy
Alfa Romeo GTV6;Vehicle_-_1981_Alfa_Romeo_GTV_6.png;After falling from Octopussy's train and hitching a lift in a Volkswagen Beetle, Bond steals this car to make the last stage of his journey to the US Air Force Base. West German police BMW 5 Series pursue Bond after his theft of the vehicle. Interestingly, sharp eyes will spot that this is a GTV 6 Quadrifoglio, the highest specification Alfa Romeo available, and widely considered the finest of these cars, as well as the fastest.;Octopussy
"Volkswagen Type 1 ""Beetle""";Vehicles - VW Beetle Octopussy.png;No description available;Octopussy
BMW 518 (E28);Vehicle - BMW 518 E28 Octopussy.png;cars used by West German police to chase down Bond after he has stolen the Alfa Romeo.;Octopussy
Rolls-Royce Phantom II Sedanca de Ville;Vehicle - Octopussy RR Phantom II.png;Kamal Khan's car in India;Octopussy
Volga M-24;Vehicle - Orlov Volga 1983.png;boarded by Gen. Orlov to chase Bond after he has stolen the Mercedes-Benz with the stolen jewels aboard.;Octopussy
"Willys MB ""Jeep""";Vehicle - Octopussy Jeep India A.png;used by group of assassins trying to kill Bond and Vijay during the Tuk-Tuk chase.;Octopussy
GMC CCKW 352;Vehicle - GMC G508 Octopussy.png;the truck used by South American troops to escort Bond out of the base. After Bond gets free and boards the Range Rover, he shoots its wheels to stop it from chasing him down.;Octopussy
BMW R 100 CS;Vehicle - BMW R100 Polizei Octopussy.png;motorcycle used by West German police;Octopussy
Bajaj RE taxi;Vehicle_-_Bajaj_RE.png;"Two of these basic auto rickshaws are used in a chase sequence through the streets of Udaipur - Bond and fellow MI6 agent  being in one, with  and his henchmen in the pursuing vehicle. It is insinuated that the auto-wallah driven by Vijay has been modified by MI6 as the tone of the engine becomes more like a motorcycle and Vijay performs a wheelie, exclaiming ""This is a company car!""";Octopussy
Eurocopter AS365 Dauphin;Vehicle_-_1983_Red_AS365 Dauphin.png;"two models appear; a red one that brings Orlov to Khan's palace and a green one that brings Gogol to the demolished Mercedes-Benz.";Octopussy
Beechcraft C-45H Expeditor;Vehicle_-_Beechcraft.png;Kamal Khan's private aircraft. Bond grips onto the aircraft during take off and, after a fight with Gobinda atop the Twin Beech, rescues Octopussy before it crashes.;Octopussy
Acrostar Jet / Bede BD-5J;Vehicle_-_Acrostar.png;The Acrostar was used to escape from a mission in the opening sequence. The wings and nosecone section of this plane fold up vertically while not in use allowing it to be stored in small compartments (in this case a horse trailer).;Octopussy
Hot Air Balloon;Vehicle_-_Hot_Air_Balloon.png;A Union-Jack emblazoned Hot Air Balloon, used by Q and Bond to storm 's palace. It is equipped with CCTV cameras.;Octopussy
Aston Martin DBS;Vehicle_-_Aston_Martin_DBS_1969.png;"This car is seen in the movie in six scenes: in the pre-credits teaser, outside Bond's hotel, in the parking area at Draco's Birthday celebration, when he arrives at M's home (Quarterdeck), briefly outside a jeweler's shop, and as Bond &amp; Tracy's wedding car. Nothing is known about what kind of gadgets are installed, except for a rifle with a telescopic sight mounted in the glovebox. Obviously, given what happens at the end, it does not have bulletproof glass.";On Her Majesty's Secret Service
Mercury Cougar XR-7;Vehicle_-_Mercury_Cougar.png;owned by Tracy Di Vincenzo and features prominently in Bond's escape from Piz Gloria.;On Her Majesty's Secret Service
Mercedes-Benz 600 (W100);OHMSS Mercedes 600.jpg;used in the drive-by-shooting that claims Tracy's life at the end of the film, with Blofeld driving it and Irma Bunt shooting an M16 rifle from the backseat through the open passenger window.;On Her Majesty's Secret Service
Agusta-Bell AB-206B JetRanger;Vehicle_-_Bell_206_JetRanger_OHMSS.png;used by Irma Bunt, Bond and a few guards to travel from Lauterbrunnen to Piz Gloria's helipad.;On Her Majesty's Secret Service
Agusta-Bell AB-204;Vehicle_-_Bell_UH1_OHMSS.png;used by Draco and his men to siege Piz Gloria at the climactic battle.;On Her Majesty's Secret Service
Aston Martin V8 Vantage Volante;Vehicle_-_Aston_Martin_V8_Vantage_Volante.png;"a convertible, which was later ""winterised"" with a hardtop. Came with all the usual refinements including side skis, spiked tires, missiles, hubcap-mounted lasers, rocket propulsion and a self-destruct mechanism.";The Living Daylights
Land Rover 88'' Series III;Vehicle_-_TLD_Jeep.png;munitions truck used by the Imposter 00 to try escape Gibraltar.;The Living Daylights
Audi 200 (C3);Vehicle_-_Audi_200.png;Austrian-registered 200 quattro Exclusiv C3 is used as a getaway car after General Koskov's defection at the start of the film. Later at Tangiers, Bond drives a 200 Avant quattro C3.;The Living Daylights
Wales & Edwards Rangemaster;Vehicle_-_TLD87_MilkFloat.png;the milk float that is stolen by Necros in order to gain access to Blayden House.;The Living Daylights
"Lada 1500 / VAZ-2103 ""Zhiguli""";Vehicle - Lada TLD.png;used by the Czechoslovakian troops during the Aston Martin chase. <small>(These cars are actually Lada 1600/VAZ-2106 but with Lada 1500/VAZ-2103 bumpers and grilles)</small>;The Living Daylights
Chevrolet Impala;31b808 f4ff0de4bb61449b897401558e8edd53~mv2.webp;driven by the two female CIA agents in Tangiers. Bond tries to hitch a ride with them to evade the police, but ends up being taken to Felix Leiter's spy vessel.;The Living Daylights
Tracma 1500;Vehicle_-_Tracma_1500.png;the ground conveyor that Bond uses in Afghanistan to jump over the fence.;The Living Daylights
Land Rover 90;Vehicle_-_TLD87_LandRover90.png;used by Kara to race inside the Hercules. Then, after they are forced to abandon the Hercules, Bond and Kara use this to parachute out of the aforementioned cargo plane. After landing, Bond decides to drive to Karachi.;The Living Daylights
Dodge WC 51;Vehicle_-_Dodge WC 51.png;Soviet Army vehicle that is used by both General Koskov and Necros to try chase down the Hercules.;The Living Daylights
Panhard AML;Vehicle_-_Panhard_AML_90.png;two of them pursue Mujahadeen fighters across the bridge that ends up being destroyed by the Bomb thrown by Bond out of the Hercules.;The Living Daylights
Bell UH-1 Iroquois;Vehicle_-_Medical_UH1.png;medical helicopter used by Koskov's collaborators to sprit him away from the Blayden House. <small>(The helicopter used in the movie is in-fact a UH-1 that was captured by the British during the Falklands War and then sold to private use.)</small>;The Living Daylights
Hawker Siddeley Harrier;Vehicle_-_Harrier.png;this V/STOL aircraft is used to evacuate Koskov after his defection to the west.;The Living Daylights
Lockheed C-130 Hercules;Vehicle_-_C130_Hercules_TLD87_RAF.png;two different C-130 planes appear in the film. One is a RAF plane used by the 00 agents to parachute to Gibraltar. The second one is employed by Koskov/Whitaker's drug operation, which ends up being stolen by during the siege at the Soviet Airbase in Afghanistan. The second plane is doubled by Fairchild C-123 Provider in the scene where Bond and Necros fight each other while dangling on a web.;The Living Daylights
Aero Commander 500;Vehicle_-_Aero_Commander_500.png;the aircraft that lands on the Soviet airbase just to crash at the WC 51 that Koskov is driving.;The Living Daylights
Spectral Marine 2:20;Spectral_Marine_220.png;CIA intelligence gathering vessel. Bond meets Felix Leiter aboard it.;The Living Daylights
PIG Pod;PIG - Pipeline Inspection Gauge (The Living Daylights) National Motor Museum, Beaulieu.jpg;used to initially to clean and check the natural gas pipeline from USSR to West Europe. It's converted here specially to smuggle a man out of the Eastern bloc, with Koskov being the first.;The Living Daylights
AMC Hornet;Vehicle_-_AMC_Hornet.png;Bond steals this car in Thailand, unknowing that Sheriff J.W. Pepper was in it looking to test drive it. It was used for the famous corkscrew jump, a computer-designed stunt that was captured in one take.;The Man with the Golden Gun
AMC Matador Coupé;Vehicle_-_AMC_Matador.png;Francisco Scaramanga and Nick Nack use this car to kidnap Mary Goodnight and make their escape.;The Man with the Golden Gun
Mercedes-Benz 220 D (W115);Vehicle - Mercedes-Benz 220 D (W115).png;driven by Lt. Hip in Thailand.;The Man with the Golden Gun
AMC Matador Sedan;Vehicle - AMC Matador Sedan Thai Police.png;driven by Thailand Police;The Man with the Golden Gun
Republic RC-3 Seabee;Vehicle - Republic RC-3 Seabee.png;Used by Bond to reach .;The Man with the Golden Gun
Bangkok Boat;Bangkokboat.jpg;No description available;The Man with the Golden Gun
Scaramanga's Junk;Vehicle - Scaramanga Junk Ship.png;No description available;The Man with the Golden Gun
RMS Queen Elizabeth;Vehicle - RMS Queen Elizabeth.png;No description available;The Man with the Golden Gun
